Loja,Grupo,Subgrupo,              Produto,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,Total 
7578 - ESPETTO CARIOCA BARRA MALL,ESPETTOS,ESPETTOS PREMIUM,26 - ESPETTO DE CAMARAO A MILANESA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7578 - ESPETTO CARIOCA BARRA MALL,ESPETTOS,ESPETTOS PREMIUM,27 - ESPETTO DE COSTELA BOVINA,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
7578 - ESPETTO CARIOCA BARRA MALL,ESPETTOS,ESPETTOS PREMIUM,28 - ESPETTO DE COSTELA SUINA,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
7578 - ESPETTO CARIOCA BARRA MALL,ALIMENTOS,SALADAS,35 - SALADA CAESAR,0,2,0,2,3,0,1,1,0,0,3,1,1,1,1,1,0,1,3,2,3,2,0,0,0,1,0,0,0,2,0,31
7578 - ESPETTO CARIOCA BARRA MALL,ALIMENTOS,SALADAS,36 - SALADA ESPETTO CARIOCA,1,5,2,2,2,8,1,2,2,0,3,4,4,1,5,1,0,2,6,1,0,2,3,3,2,4,1,3,1,0,0,71
7578 - ESPETTO CARIOCA BARRA MALL,ALIMENTOS,PORCOES,43 - BATATA FRITA PALITO 200G,5,24,6,2,9,8,10,6,24,8,9,19,13,22,17,21,9,7,10,8,12,8,14,4,6,23,12,11,9,3,2,341
7578 - ESPETTO CARIOCA BARRA MALL,ALIMENTOS,PORCOES,44 - ARROZ BRANCO 300G,1,4,0,0,2,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,2,0,0,1,0,1,0,1,0,0,0,17
7578 - ESPETTO CARIOCA BARRA MALL,ALIMENTOS,PORCOES,45 - ARROZ MALUCO 300G,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5
7578 - ESPETTO CARIOCA BARRA MALL,ALIMENTOS,PORCOES,46 - FEIJAO 200G,0,3,0,0,3,0,0,0,0,0,0,0,1,1,1,2,0,0,0,2,1,0,1,1,0,3,1,2,0,0,1,23
7578 - ESPETTO CARIOCA BARRA MALL,ALIMENTOS,PORCOES,48 - FAROFA DE OVOS 200G,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,7
7578 - ESPETTO CARIOCA BARRA MALL,ALIMENTOS,PORCOES,49 - ARROZ DE BROCOLIS 300G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
7578 - ESPETTO CARIOCA BARRA MALL,ALIMENTOS,PORCOES,51 - PURE DE BATATA 200G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3
7578 - ESPETTO CARIOCA BARRA MALL,ALIMENTOS,PORCOES,52 - LEGUMES AO VAPOR 200G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2
7578 - ESPETTO CARIOCA BARRA MALL,ALIMENTOS,PORCOES,53 - ARROZ INTEGRAL 300G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7578 - ESPETTO CARIOCA BARRA MALL,ALIMENTOS,TABUAS,54 - BABY BACK RIBS,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
7578 - ESPETTO CARIOCA BARRA MALL,ALIMENTOS,TABUAS,55 - MIX TRADICIONAL,2,8,4,1,5,3,2,4,3,6,1,1,2,7,5,9,2,3,8,2,8,3,4,7,3,3,2,2,5,4,0,119
7578 - ESPETTO CARIOCA BARRA MALL,ALIMENTOS,TABUAS,56 - TABUA 4 ESPETTOS,4,1,0,2,1,1,1,0,0,0,0,5,3,2,0,3,1,1,1,0,1,2,5,0,0,3,0,1,2,1,0,41
7578 - ESPETTO CARIOCA BARRA MALL,ALIMENTOS,TABUAS,59 - TABUA MISTA,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,8
7578 - ESPETTO CARIOCA BARRA MALL,ALIMENTOS,PETISCOS,72 - BATATA FRITA PALITO 400G,0,1,2,1,1,0,1,2,1,1,4,3,1,2,0,2,0,1,1,0,3,1,3,0,0,0,0,2,0,1,1,35
7578 - ESPETTO CARIOCA BARRA MALL,ALIMENTOS,PETISCOS,73 - AIPIM FRITO COM PROVOLONE,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,6
7578 - ESPETTO CARIOCA BARRA MALL,ALIMENTOS,PORCOES,74 - AIPIM FRITO 200G,1,3,2,3,2,2,4,1,0,3,5,2,4,6,3,6,3,3,6,7,3,6,6,5,2,3,3,9,4,3,0,110
7578 - ESPETTO CARIOCA BARRA MALL,ALIMENTOS,PETISCOS,75 - BOLINHO DE FEIJOADA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,4
7578 - ESPETTO CARIOCA BARRA MALL,ALIMENTOS,PETISCOS,80 - DADINHO DE TAPIOCA,1,1,0,0,0,0,0,1,0,1,1,1,0,0,3,2,0,2,0,1,0,2,1,0,0,0,0,1,0,1,0,19
7578 - ESPETTO CARIOCA BARRA MALL,ALIMENTOS,PETISCOS,81 - MIX DE PETISCO,2,2,2,0,0,0,0,1,0,1,0,0,1,4,1,1,0,0,0,2,0,1,2,1,0,1,3,0,0,0,0,25
7578 - ESPETTO CARIOCA BARRA MALL,ALIMENTOS,SOBREMESA,82 - TORTA DE NUTELLA,0,2,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,11
7578 - ESPETTO CARIOCA BARRA MALL,ALIMENTOS,SOBREMESA,83 - TACA DE CHURROS C/ DOCE DE LEITE,0,0,0,0,1,0,1,0,3,1,3,1,3,0,1,0,1,1,2,1,0,0,0,0,1,2,0,0,0,1,0,23
7578 - ESPETTO CARIOCA BARRA MALL,ALIMENTOS,SOBREMESA,84 - ESPETTO DE MORANGO COM CHOCOLATE,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,6
7578 - ESPETTO CARIOCA BARRA MALL,ALIMENTOS,SOBREMESA,86 - SORVETE CREME,1,1,0,0,0,2,1,0,0,0,2,0,2,1,0,2,1,3,1,0,0,0,1,0,0,0,0,0,0,2,0,20
7578 - ESPETTO CARIOCA BARRA MALL,ALIMENTOS,SOBREMESA,87 - BROWNIE COM SORVETE,0,1,0,0,0,0,0,0,0,1,2,2,0,0,1,2,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,16
7578 - ESPETTO CARIOCA BARRA MALL,ALIMENTOS,SOBREMESA,88 - CAFE EXPRESSO,4,5,3,1,3,9,2,3,0,5,2,3,3,0,0,2,1,3,2,4,2,4,1,0,0,2,0,1,2,2,2,71
7578 - ESPETTO CARIOCA BARRA MALL,BEBIDAS,DRINKS ENERGIZANTES,89 - TROPICAL GIN,10,0,0,0,2,0,0,0,0,1,4,0,0,2,0,6,0,0,0,0,0,2,2,0,0,0,0,1,1,0,0,31
7578 - ESPETTO CARIOCA BARRA MALL,BEBIDAS,DESTILADOS,109 - VODKA NACIONAL DOSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
