Loja,Grupo,Subgrupo,              Produto,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,Total 
7593 - ESPETTO CARIOCA PIRATININGA,ESPETTOS,ESPETTOS PREMIUM,26 - ESPETTO DE CAMARAO A MILANESA,0,0,2,0,0,0,0,0,0,0,1,1,0,1,1,2,0,0,0,1,1,0,1,0,0,1,0,1,0,0,0,13
7593 - ESPETTO CARIOCA PIRATININGA,ESPETTOS,ESPETTOS PREMIUM,27 - ESPETTO DE COSTELA BOVINA,2,1,1,0,2,0,0,2,0,2,2,2,1,1,4,3,1,2,0,0,3,0,1,0,1,0,0,0,0,0,0,31
7593 - ESPETTO CARIOCA PIRATININGA,ESPETTOS,ESPETTOS PREMIUM,28 - ESPETTO DE COSTELA SUINA,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,1,0,0,0,7
7593 - ESPETTO CARIOCA PIRATININGA,ALIMENTOS,SALADAS,35 - SALADA CAESAR,1,5,2,1,11,4,1,2,3,0,6,1,5,5,4,3,2,1,3,4,3,3,2,0,1,0,2,0,2,1,0,78
7593 - ESPETTO CARIOCA PIRATININGA,ALIMENTOS,SALADAS,36 - SALADA ESPETTO CARIOCA,1,5,0,1,2,0,0,1,1,0,1,1,0,2,0,1,0,10,9,14,3,1,16,2,8,8,9,0,0,1,0,97
7593 - ESPETTO CARIOCA PIRATININGA,ALIMENTOS,PORCOES,43 - BATATA FRITA PALITO 200G,29,23,46,30,31,22,19,42,30,13,61,21,42,40,52,55,59,57,58,72,21,38,56,27,30,37,45,18,25,6,0,1105
7593 - ESPETTO CARIOCA PIRATININGA,ALIMENTOS,PORCOES,44 - ARROZ BRANCO 300G,0,11,1,2,2,1,0,3,1,1,0,0,0,0,6,2,1,8,2,1,1,2,1,2,1,1,0,2,1,1,0,54
7593 - ESPETTO CARIOCA PIRATININGA,ALIMENTOS,PORCOES,45 - ARROZ MALUCO 300G,0,0,0,0,0,0,0,2,1,1,0,1,2,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,10
7593 - ESPETTO CARIOCA PIRATININGA,ALIMENTOS,PORCOES,46 - FEIJAO 200G,0,2,2,1,0,2,1,4,1,1,1,0,5,4,5,3,1,1,3,3,0,3,1,1,4,2,0,2,0,0,0,53
7593 - ESPETTO CARIOCA PIRATININGA,ALIMENTOS,PORCOES,48 - FAROFA DE OVOS 200G,1,4,0,1,0,3,1,3,2,0,1,0,2,2,1,0,1,2,0,0,1,3,0,0,1,0,1,0,0,0,0,30
7593 - ESPETTO CARIOCA PIRATININGA,ALIMENTOS,PORCOES,49 - ARROZ DE BROCOLIS 300G,0,0,0,1,0,0,3,0,1,0,4,1,0,2,0,0,2,1,1,1,0,0,0,1,1,0,0,1,0,1,0,21
